Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
0.00000000E+00	-2.98471375E+00	
1.00000000E+00	-3.52259661E+00	
2.00000000E+00	-4.72966783E+00	
3.00000000E+00	-6.39022849E+00	
4.00000000E+00	-8.58820093E+00	
5.00000000E+00	-1.07325239E+01	
6.00000000E+00	-1.49981446E+01	
7.00000000E+00	-2.10314292E+01	
8.00000000E+00	-2.78486088E+01	
9.00000000E+00	-2.62127483E+01	
1.00000000E+01	-2.51118069E+01	
1.10000000E+01	-2.61238481E+01	
1.20000000E+01	-2.63320461E+01	
1.30000000E+01	-2.34856992E+01	
1.40000000E+01	-2.03625484E+01	
1.50000000E+01	-1.86383714E+01	
1.60000000E+01	-1.77321659E+01	
1.70000000E+01	-1.71895079E+01	
1.80000000E+01	-1.62825877E+01	
1.90000000E+01	-1.52023771E+01	
2.00000000E+01	-1.41900882E+01	
2.10000000E+01	-1.34801567E+01	
2.20000000E+01	-1.28969486E+01	
2.30000000E+01	-1.22655764E+01	
2.40000000E+01	-1.15388165E+01	
2.50000000E+01	-1.07717035E+01	
2.60000000E+01	-1.00926966E+01	
2.70000000E+01	-9.50104028E+00	
2.80000000E+01	-8.92214456E+00	
2.90000000E+01	-8.33260181E+00	
3.00000000E+01	-7.71377123E+00	
3.10000000E+01	-7.06783310E+00	
3.20000000E+01	-6.47313645E+00	
3.30000000E+01	-5.90176759E+00	
3.40000000E+01	-5.34895910E+00	
3.50000000E+01	-4.80679174E+00	
3.60000000E+01	-4.25706300E+00	
3.70000000E+01	-3.75424099E+00	
3.80000000E+01	-3.29164141E+00	
3.90000000E+01	-2.87642779E+00	
4.00000000E+01	-2.48977765E+00	
4.10000000E+01	-2.11929934E+00	
4.20000000E+01	-1.75659157E+00	
4.30000000E+01	-1.40883675E+00	
4.40000000E+01	-1.06517096E+00	
4.50000000E+01	-7.45379499E-01	
4.60000000E+01	-4.43124320E-01	
4.70000000E+01	-1.45023666E-01	
4.80000000E+01	1.42889971E-01	
4.90000000E+01	4.13527494E-01	
5.00000000E+01	6.79353943E-01	
5.10000000E+01	9.40839562E-01	
5.20000000E+01	1.19512687E+00	
5.30000000E+01	1.42851125E+00	
5.40000000E+01	1.67086866E+00	
5.50000000E+01	1.77753872E+00	
5.60000000E+01	1.54843692E+00	
5.70000000E+01	1.30840117E+00	
5.80000000E+01	1.04888240E+00	
5.90000000E+01	7.88986065E-01	
6.00000000E+01	5.27350030E-01	
6.10000000E+01	2.62126174E-01	
6.20000000E+01	1.08148782E-03	
6.30000000E+01	-2.74843705E-01	
6.40000000E+01	-5.73164845E-01	
6.50000000E+01	-9.08288898E-01	
6.60000000E+01	-1.26913120E+00	
6.70000000E+01	-1.65653262E+00	
6.80000000E+01	-2.01848782E+00	
6.90000000E+01	-2.36136769E+00	
7.00000000E+01	-2.68701562E+00	
7.10000000E+01	-3.02326344E+00	
7.20000000E+01	-3.44676237E+00	
7.30000000E+01	-3.99258983E+00	
7.40000000E+01	-4.68027057E+00	
7.50000000E+01	-5.37632069E+00	
7.60000000E+01	-5.88436410E+00	
7.70000000E+01	-6.03152071E+00	
7.80000000E+01	-5.89391338E+00	
7.90000000E+01	-5.84387714E+00	
8.00000000E+01	-6.24154172E+00	
8.10000000E+01	-7.51289661E+00	
8.20000000E+01	-1.02899418E+01	
8.30000000E+01	-1.56426534E+01	
8.40000000E+01	-1.49966107E+01	
8.50000000E+01	-8.34161788E+00	
8.60000000E+01	-4.27743578E+00	
8.70000000E+01	-1.76458451E+00	
8.80000000E+01	-9.25094110E-01	
8.90000000E+01	5.68918013E-02	
9.00000000E+01	5.30561295E-01	
9.10000000E+01	6.69473166E-02	
9.20000000E+01	-9.09585122E-01	
9.30000000E+01	-2.37823653E+00	
9.40000000E+01	-4.35443770E+00	
9.50000000E+01	-6.90337289E+00	
9.60000000E+01	-1.01837133E+01	
9.70000000E+01	-1.45782220E+01	
9.80000000E+01	-2.12907416E+01	
9.90000000E+01	-4.07460680E+01	
1.00000000E+02	-2.66988179E+01	
1.01000000E+02	-2.16730511E+01	
1.02000000E+02	-1.96562681E+01	
1.03000000E+02	-1.88222953E+01	
1.04000000E+02	-1.85820136E+01	
1.05000000E+02	-1.86521193E+01	
1.06000000E+02	-1.88753674E+01	
1.07000000E+02	-1.91749476E+01	
1.08000000E+02	-1.95116651E+01	
1.09000000E+02	-1.99118611E+01	
1.10000000E+02	-2.04422606E+01	
1.11000000E+02	-2.12027202E+01	
1.12000000E+02	-2.22901506E+01	
1.13000000E+02	-2.37974359E+01	
1.14000000E+02	-2.59597396E+01	
1.15000000E+02	-2.91805737E+01	
1.16000000E+02	-3.49418190E+01	
1.17000000E+02	-4.96021376E+01	
1.18000000E+02	-3.48855882E+01	
1.19000000E+02	-2.90287330E+01	
1.20000000E+02	-2.56919795E+01	
1.21000000E+02	-2.38549202E+01	
1.22000000E+02	-2.33722195E+01	
1.23000000E+02	-2.44336276E+01	
1.24000000E+02	-2.79249233E+01	
1.25000000E+02	-3.90167633E+01	
1.26000000E+02	-4.71370756E+01	
1.27000000E+02	-4.96815319E+01	
1.28000000E+02	-5.46111468E+01	
1.29000000E+02	-5.24646400E+01	
1.30000000E+02	-4.85675388E+01	
1.31000000E+02	-4.73769651E+01	
1.32000000E+02	-4.83378796E+01	
1.33000000E+02	-5.10434155E+01	
1.34000000E+02	-5.29484078E+01	
1.35000000E+02	-5.06988696E+01	
1.36000000E+02	-5.01027807E+01	
1.37000000E+02	-4.78864546E+01	
1.38000000E+02	-4.69292081E+01	
1.39000000E+02	-4.71848634E+01	
1.40000000E+02	-4.68761621E+01	
1.41000000E+02	-4.95815712E+01	
1.42000000E+02	-5.53154175E+01	
1.43000000E+02	-6.38794705E+01	
1.44000000E+02	-5.47612484E+01	
1.45000000E+02	-5.08112225E+01	
1.46000000E+02	-4.81104954E+01	
1.47000000E+02	-4.64229112E+01	
1.48000000E+02	-4.88116312E+01	
1.49000000E+02	-5.03335989E+01	
1.50000000E+02	-5.14215563E+01	
1.51000000E+02	-4.86917864E+01	
1.52000000E+02	-4.53716694E+01	
1.53000000E+02	-4.27366152E+01	
1.54000000E+02	-4.33239964E+01	
1.55000000E+02	-4.49334580E+01	
1.56000000E+02	-4.79902841E+01	
1.57000000E+02	-5.23300008E+01	
1.58000000E+02	-4.63011209E+01	
1.59000000E+02	-4.35275816E+01	
1.60000000E+02	-4.37155748E+01	
1.61000000E+02	-4.88752865E+01	
1.62000000E+02	-4.50977559E+01	
1.63000000E+02	-3.80702938E+01	
1.64000000E+02	-3.38816774E+01	
1.65000000E+02	-3.19599748E+01	
1.66000000E+02	-3.19137632E+01	
1.67000000E+02	-3.39776341E+01	
1.68000000E+02	-3.92173161E+01	
1.69000000E+02	-4.65067369E+01	
1.70000000E+02	-4.68097364E+01	
1.71000000E+02	-3.90301099E+01	
1.72000000E+02	-2.75375120E+01	
1.73000000E+02	-2.00736720E+01	
1.74000000E+02	-1.47853852E+01	
