Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
0.00000000E+00	-7.79286631E+00	
1.00000000E+00	-3.00310796E+01	
2.00000000E+00	-3.19462795E+01	
3.00000000E+00	-3.33118631E+01	
4.00000000E+00	-3.34552350E+01	
5.00000000E+00	-3.31647558E+01	
6.00000000E+00	-3.34410300E+01	
7.00000000E+00	-3.47966019E+01	
8.00000000E+00	-3.76847965E+01	
9.00000000E+00	-4.31769640E+01	
1.00000000E+01	-5.52145781E+01	
1.10000000E+01	-4.86773721E+01	
1.20000000E+01	-4.49338471E+01	
1.30000000E+01	-4.48394981E+01	
1.40000000E+01	-4.57402874E+01	
1.50000000E+01	-4.44943489E+01	
1.60000000E+01	-4.22468169E+01	
1.70000000E+01	-4.12315527E+01	
1.80000000E+01	-4.20061103E+01	
1.90000000E+01	-4.51504757E+01	
2.00000000E+01	-5.30306525E+01	
2.10000000E+01	-5.48248568E+01	
2.20000000E+01	-4.77590471E+01	
2.30000000E+01	-4.59144918E+01	
2.40000000E+01	-4.61823256E+01	
2.50000000E+01	-4.61572349E+01	
2.60000000E+01	-4.44868472E+01	
2.70000000E+01	-4.31321526E+01	
2.80000000E+01	-4.34590909E+01	
2.90000000E+01	-4.63184259E+01	
3.00000000E+01	-5.31192597E+01	
3.10000000E+01	-4.96660367E+01	
3.20000000E+01	-4.45079115E+01	
3.30000000E+01	-4.29305441E+01	
3.40000000E+01	-4.39794355E+01	
3.50000000E+01	-4.77972606E+01	
3.60000000E+01	-5.11741352E+01	
3.70000000E+01	-4.75017930E+01	
3.80000000E+01	-4.59507420E+01	
3.90000000E+01	-4.72101187E+01	
4.00000000E+01	-4.60002506E+01	
4.10000000E+01	-4.09958608E+01	
4.20000000E+01	-3.77536867E+01	
4.30000000E+01	-3.66257844E+01	
4.40000000E+01	-3.76042699E+01	
4.50000000E+01	-4.14209127E+01	
4.60000000E+01	-5.21659006E+01	
4.70000000E+01	-4.96150123E+01	
4.80000000E+01	-4.52110675E+01	
4.90000000E+01	-4.30214950E+01	
5.00000000E+01	-3.60530464E+01	
5.10000000E+01	-3.04394154E+01	
5.20000000E+01	-2.68646118E+01	
5.30000000E+01	-2.48435966E+01	
5.40000000E+01	-2.41509077E+01	
5.50000000E+01	-2.47287187E+01	
5.60000000E+01	-2.65201082E+01	
5.70000000E+01	-2.99698707E+01	
5.80000000E+01	-3.64459323E+01	
5.90000000E+01	-4.87557243E+01	
6.00000000E+01	-4.11034591E+01	
6.10000000E+01	-3.96905939E+01	
6.20000000E+01	-4.36242991E+01	
6.30000000E+01	-6.13418828E+01	
6.40000000E+01	-4.38978062E+01	
6.50000000E+01	-4.00648330E+01	
6.60000000E+01	-4.01339014E+01	
6.70000000E+01	-4.33197959E+01	
6.80000000E+01	-5.11896024E+01	
6.90000000E+01	-5.57152430E+01	
7.00000000E+01	-5.19583474E+01	
7.10000000E+01	-5.77779236E+01	
7.20000000E+01	-5.27572591E+01	
7.30000000E+01	-4.49117494E+01	
7.40000000E+01	-4.19200812E+01	
7.50000000E+01	-4.15315955E+01	
7.60000000E+01	-4.33853062E+01	
7.70000000E+01	-4.80515281E+01	
7.80000000E+01	-5.90423290E+01	
7.90000000E+01	-6.21809919E+01	
8.00000000E+01	-5.94980986E+01	
8.10000000E+01	-6.10182195E+01	
8.20000000E+01	-5.08631751E+01	
8.30000000E+01	-4.58412495E+01	
8.40000000E+01	-4.36084368E+01	
8.50000000E+01	-4.32608701E+01	
8.60000000E+01	-4.45745249E+01	
8.70000000E+01	-4.77209390E+01	
8.80000000E+01	-5.34360943E+01	
8.90000000E+01	-6.38615173E+01	
9.00000000E+01	-7.25869454E+01	
9.10000000E+01	-6.38615173E+01	
9.20000000E+01	-5.34360943E+01	
9.30000000E+01	-4.77209390E+01	
9.40000000E+01	-4.45745249E+01	
9.50000000E+01	-4.32608701E+01	
9.60000000E+01	-4.36084368E+01	
9.70000000E+01	-4.58412495E+01	
9.80000000E+01	-5.08631751E+01	
9.90000000E+01	-6.10182195E+01	
1.00000000E+02	-5.94980986E+01	
1.01000000E+02	-6.21809919E+01	
1.02000000E+02	-5.90423290E+01	
1.03000000E+02	-4.80515281E+01	
1.04000000E+02	-4.33853062E+01	
1.05000000E+02	-4.15315955E+01	
1.06000000E+02	-4.19200812E+01	
1.07000000E+02	-4.49117494E+01	
1.08000000E+02	-5.27572591E+01	
1.09000000E+02	-5.77779236E+01	
1.10000000E+02	-5.19583474E+01	
1.11000000E+02	-5.57152430E+01	
1.12000000E+02	-5.11896024E+01	
1.13000000E+02	-4.33197959E+01	
1.14000000E+02	-4.01339014E+01	
1.15000000E+02	-4.00648330E+01	
1.16000000E+02	-4.38978062E+01	
1.17000000E+02	-6.13418828E+01	
1.18000000E+02	-4.36242991E+01	
1.19000000E+02	-3.96905939E+01	
1.20000000E+02	-4.11034591E+01	
1.21000000E+02	-4.87557243E+01	
1.22000000E+02	-3.64459323E+01	
1.23000000E+02	-2.99698707E+01	
1.24000000E+02	-2.65201082E+01	
1.25000000E+02	-2.47287187E+01	
1.26000000E+02	-2.41509077E+01	
1.27000000E+02	-2.48435966E+01	
1.28000000E+02	-2.68646118E+01	
1.29000000E+02	-3.04394154E+01	
1.30000000E+02	-3.60530464E+01	
1.31000000E+02	-4.30214950E+01	
1.32000000E+02	-4.52110675E+01	
1.33000000E+02	-4.96150123E+01	
1.34000000E+02	-5.21659006E+01	
1.35000000E+02	-4.14209127E+01	
1.36000000E+02	-3.76042699E+01	
1.37000000E+02	-3.66257844E+01	
1.38000000E+02	-3.77536867E+01	
1.39000000E+02	-4.09958608E+01	
1.40000000E+02	-4.60002506E+01	
1.41000000E+02	-4.72101187E+01	
1.42000000E+02	-4.59507420E+01	
1.43000000E+02	-4.75017930E+01	
1.44000000E+02	-5.11741352E+01	
1.45000000E+02	-4.77972606E+01	
1.46000000E+02	-4.39794355E+01	
1.47000000E+02	-4.29305441E+01	
1.48000000E+02	-4.45079115E+01	
1.49000000E+02	-4.96660367E+01	
1.50000000E+02	-5.31192597E+01	
1.51000000E+02	-4.63184259E+01	
1.52000000E+02	-4.34590909E+01	
1.53000000E+02	-4.31321526E+01	
1.54000000E+02	-4.44868472E+01	
1.55000000E+02	-4.61572349E+01	
1.56000000E+02	-4.61823256E+01	
1.57000000E+02	-4.59144918E+01	
1.58000000E+02	-4.77590471E+01	
1.59000000E+02	-5.48248568E+01	
1.60000000E+02	-5.30306525E+01	
1.61000000E+02	-4.51504757E+01	
1.62000000E+02	-4.20061103E+01	
1.63000000E+02	-4.12315527E+01	
1.64000000E+02	-4.22468169E+01	
1.65000000E+02	-4.44943489E+01	
1.66000000E+02	-4.57402874E+01	
1.67000000E+02	-4.48394981E+01	
1.68000000E+02	-4.49338471E+01	
1.69000000E+02	-4.86773721E+01	
1.70000000E+02	-5.52145781E+01	
1.71000000E+02	-4.31769640E+01	
1.72000000E+02	-3.76847965E+01	
1.73000000E+02	-3.47966019E+01	
1.74000000E+02	-3.34410300E+01	
1.75000000E+02	-3.31647558E+01	
1.76000000E+02	-3.34552350E+01	
1.77000000E+02	-3.33118631E+01	
1.78000000E+02	-3.19462795E+01	
1.79000000E+02	-3.00310796E+01	
1.80000000E+02	-7.79286631E+00	
1.81000000E+02	-2.33771044E+01	
1.82000000E+02	-2.58038331E+01	
1.83000000E+02	-2.71980691E+01	
1.84000000E+02	-2.87039924E+01	
1.85000000E+02	-3.06808258E+01	
1.86000000E+02	-3.32808057E+01	
1.87000000E+02	-3.64870723E+01	
1.88000000E+02	-4.00284332E+01	
1.89000000E+02	-4.37937519E+01	
1.90000000E+02	-4.93603334E+01	
1.91000000E+02	-5.25108515E+01	
1.92000000E+02	-4.40752485E+01	
1.93000000E+02	-3.96884844E+01	
1.94000000E+02	-3.76603837E+01	
1.95000000E+02	-3.73155730E+01	
1.96000000E+02	-3.85416930E+01	
1.97000000E+02	-4.16081651E+01	
1.98000000E+02	-4.74459435E+01	
1.99000000E+02	-5.64193174E+01	
2.00000000E+02	-5.28080510E+01	
2.01000000E+02	-4.97887531E+01	
2.02000000E+02	-4.59415767E+01	
2.03000000E+02	-4.18405909E+01	
2.04000000E+02	-3.91792932E+01	
2.05000000E+02	-3.81338031E+01	
2.06000000E+02	-3.87003799E+01	
2.07000000E+02	-4.11077477E+01	
2.08000000E+02	-4.60388343E+01	
2.09000000E+02	-5.20217165E+01	
2.10000000E+02	-4.89581568E+01	
2.11000000E+02	-4.70226213E+01	
2.12000000E+02	-4.63484522E+01	
2.13000000E+02	-4.41621623E+01	
2.14000000E+02	-4.16227407E+01	
2.15000000E+02	-4.04935397E+01	
2.16000000E+02	-4.13802127E+01	
2.17000000E+02	-4.52298679E+01	
2.18000000E+02	-5.11988284E+01	
2.19000000E+02	-4.37885482E+01	
2.20000000E+02	-3.92852062E+01	
2.21000000E+02	-3.74194891E+01	
2.22000000E+02	-3.72794811E+01	
2.23000000E+02	-3.86010860E+01	
2.24000000E+02	-4.14047181E+01	
2.25000000E+02	-4.60731019E+01	
2.26000000E+02	-5.54948114E+01	
2.27000000E+02	-4.91131261E+01	
2.28000000E+02	-3.95567194E+01	
2.29000000E+02	-3.36373036E+01	
2.30000000E+02	-2.94860497E+01	
2.31000000E+02	-2.65654725E+01	
2.32000000E+02	-2.46360178E+01	
2.33000000E+02	-2.35762951E+01	
2.34000000E+02	-2.33300442E+01	
2.35000000E+02	-2.37999019E+01	
2.36000000E+02	-2.45388560E+01	
2.37000000E+02	-2.61393349E+01	
2.38000000E+02	-2.85804268E+01	
2.39000000E+02	-3.17564476E+01	
2.40000000E+02	-3.53787994E+01	
2.41000000E+02	-3.93357485E+01	
2.42000000E+02	-4.49230054E+01	
2.43000000E+02	-6.01004190E+01	
2.44000000E+02	-4.87974755E+01	
2.45000000E+02	-4.37918259E+01	
2.46000000E+02	-4.20489246E+01	
