Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
0.00000000E+00	1.70228149E+01	
1.00000000E+00	8.37927612E+00	
2.00000000E+00	3.71412006E+00	
3.00000000E+00	-9.83087675E+00	
4.00000000E+00	-6.14893281E+00	
5.00000000E+00	-3.77839757E+00	
6.00000000E+00	-1.04632233E+01	
7.00000000E+00	-1.49052679E+01	
8.00000000E+00	-8.05382396E+00	
9.00000000E+00	-1.14370748E+01	
1.00000000E+01	-2.25896049E+01	
1.10000000E+01	-1.13944290E+01	
1.20000000E+01	-1.26532931E+01	
1.30000000E+01	-2.49420967E+01	
1.40000000E+01	-1.40819002E+01	
1.50000000E+01	-1.39999074E+01	
1.60000000E+01	-2.43736438E+01	
1.70000000E+01	-1.60078494E+01	
1.80000000E+01	-1.54015359E+01	
1.90000000E+01	-2.45727408E+01	
2.00000000E+01	-1.70869179E+01	
2.10000000E+01	-1.69214534E+01	
2.20000000E+01	-2.49684626E+01	
2.30000000E+01	-1.75256528E+01	
2.40000000E+01	-1.88601546E+01	
2.50000000E+01	-2.38612837E+01	
2.60000000E+01	-1.78515480E+01	
2.70000000E+01	-2.18095749E+01	
2.80000000E+01	-2.13700536E+01	
2.90000000E+01	-1.88974466E+01	
3.00000000E+01	-2.49313732E+01	
3.10000000E+01	-1.95998497E+01	
3.20000000E+01	-2.19100675E+01	
3.30000000E+01	-2.24040345E+01	
3.40000000E+01	-2.02229750E+01	
3.50000000E+01	-2.48490814E+01	
3.60000000E+01	-2.02999644E+01	
3.70000000E+01	-2.43469538E+01	
3.80000000E+01	-2.12498096E+01	
3.90000000E+01	-2.31409017E+01	
4.00000000E+01	-2.23807394E+01	
4.10000000E+01	-2.25211921E+01	
4.20000000E+01	-2.32275133E+01	
4.30000000E+01	-2.24071657E+01	
4.40000000E+01	-2.36372187E+01	
4.50000000E+01	-2.26143016E+01	
4.60000000E+01	-2.36617200E+01	
4.70000000E+01	-2.30705258E+01	
4.80000000E+01	-2.33951490E+01	
4.90000000E+01	-2.37804044E+01	
5.00000000E+01	-2.29934381E+01	
5.10000000E+01	-2.46210617E+01	
5.20000000E+01	-2.29001614E+01	
5.30000000E+01	-2.49675032E+01	
5.40000000E+01	-2.32260907E+01	
5.50000000E+01	-2.42864356E+01	
5.60000000E+01	-2.42988890E+01	
5.70000000E+01	-2.34750286E+01	
5.80000000E+01	-2.49560683E+01	
5.90000000E+01	-2.38822028E+01	
6.00000000E+01	-2.40259338E+01	
6.10000000E+01	-2.49612199E+01	
6.20000000E+01	-2.39716232E+01	
6.30000000E+01	-2.42403989E+01	
6.40000000E+01	-2.49824723E+01	
6.50000000E+01	-2.46165510E+01	
6.60000000E+01	-2.40905169E+01	
6.70000000E+01	-2.46556076E+01	
6.80000000E+01	-2.49622174E+01	
6.90000000E+01	-2.44752377E+01	
7.00000000E+01	-2.43957921E+01	
7.10000000E+01	-2.48174251E+01	
7.20000000E+01	-2.49511642E+01	
7.30000000E+01	-2.46823779E+01	
7.40000000E+01	-2.45714010E+01	
7.50000000E+01	-2.47763847E+01	
7.60000000E+01	-2.48154733E+01	
7.70000000E+01	-2.49717186E+01	
7.80000000E+01	-2.49220463E+01	
7.90000000E+01	-2.48029740E+01	
8.00000000E+01	-2.48418303E+01	
8.10000000E+01	-2.48359918E+01	
8.20000000E+01	-2.48324443E+01	
8.30000000E+01	-2.49305189E+01	
8.40000000E+01	-2.49451225E+01	
8.50000000E+01	-2.49732772E+01	
8.60000000E+01	-2.49561009E+01	
8.70000000E+01	-2.49680901E+01	
8.80000000E+01	-2.49715687E+01	
8.90000000E+01	-2.49723097E+01	
9.00000000E+01	-2.49758417E+01	
9.10000000E+01	-2.49723097E+01	
9.20000000E+01	-2.49715687E+01	
9.30000000E+01	-2.49741734E+01	
9.40000000E+01	-2.49561009E+01	
9.50000000E+01	-2.49732772E+01	
9.60000000E+01	-2.49451225E+01	
9.70000000E+01	-2.49305189E+01	
9.80000000E+01	-2.48324443E+01	
9.90000000E+01	-2.48359918E+01	
1.00000000E+02	-2.48418303E+01	
1.01000000E+02	-2.48029740E+01	
1.02000000E+02	-2.49220463E+01	
1.03000000E+02	-2.49717186E+01	
1.04000000E+02	-2.48154733E+01	
1.05000000E+02	-2.47763847E+01	
1.06000000E+02	-2.45714010E+01	
1.07000000E+02	-2.46823779E+01	
1.08000000E+02	-2.49511642E+01	
1.09000000E+02	-2.48174251E+01	
1.10000000E+02	-2.43957921E+01	
1.11000000E+02	-2.44752377E+01	
1.12000000E+02	-2.49622174E+01	
1.13000000E+02	-2.46556076E+01	
1.14000000E+02	-2.40905169E+01	
1.15000000E+02	-2.46165510E+01	
1.16000000E+02	-2.49824723E+01	
1.17000000E+02	-2.42403989E+01	
1.18000000E+02	-2.39716232E+01	
1.19000000E+02	-2.49612199E+01	
1.20000000E+02	-2.40259338E+01	
1.21000000E+02	-2.38822028E+01	
1.22000000E+02	-2.49560683E+01	
1.23000000E+02	-2.34750286E+01	
1.24000000E+02	-2.42988890E+01	
1.25000000E+02	-2.42864356E+01	
1.26000000E+02	-2.32260907E+01	
1.27000000E+02	-2.49675032E+01	
1.28000000E+02	-2.29001614E+01	
1.29000000E+02	-2.46210617E+01	
1.30000000E+02	-2.29934381E+01	
1.31000000E+02	-2.37804044E+01	
1.32000000E+02	-2.33951490E+01	
1.33000000E+02	-2.30705258E+01	
1.34000000E+02	-2.36617200E+01	
1.35000000E+02	-2.26143016E+01	
1.36000000E+02	-2.36372187E+01	
1.37000000E+02	-2.24071657E+01	
1.38000000E+02	-2.32275133E+01	
1.39000000E+02	-2.25211921E+01	
1.40000000E+02	-2.23807394E+01	
1.41000000E+02	-2.31409017E+01	
1.42000000E+02	-2.12498096E+01	
1.43000000E+02	-2.43469538E+01	
1.44000000E+02	-2.02999644E+01	
1.45000000E+02	-2.48490814E+01	
1.46000000E+02	-2.02229750E+01	
1.47000000E+02	-2.24040345E+01	
1.48000000E+02	-2.19100675E+01	
1.49000000E+02	-1.95998497E+01	
1.50000000E+02	-2.49313732E+01	
1.51000000E+02	-1.88974466E+01	
1.52000000E+02	-2.13700536E+01	
1.53000000E+02	-2.18095749E+01	
1.54000000E+02	-1.78515480E+01	
1.55000000E+02	-2.38612837E+01	
1.56000000E+02	-1.88601546E+01	
1.57000000E+02	-1.75256528E+01	
1.58000000E+02	-2.49684626E+01	
1.59000000E+02	-1.69214534E+01	
1.60000000E+02	-1.70869179E+01	
1.61000000E+02	-2.45727408E+01	
1.62000000E+02	-1.54015359E+01	
1.63000000E+02	-1.60078494E+01	
1.64000000E+02	-2.43736438E+01	
1.65000000E+02	-1.39999074E+01	
1.66000000E+02	-1.40819002E+01	
1.67000000E+02	-2.49420967E+01	
1.68000000E+02	-1.26532931E+01	
1.69000000E+02	-1.13944290E+01	
1.70000000E+02	-2.25896049E+01	
