Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
0.00000000E+00	4.98632452E+00	
1.00000000E+00	3.16566643E+00	
2.00000000E+00	-3.65423769E+00	
3.00000000E+00	-2.13866260E+01	
4.00000000E+00	-8.32281641E+00	
5.00000000E+00	-1.26268404E+01	
6.00000000E+00	-2.17326875E+01	
7.00000000E+00	-1.28565274E+01	
8.00000000E+00	-1.78341605E+01	
9.00000000E+00	-2.22760247E+01	
1.00000000E+01	-1.57974019E+01	
1.10000000E+01	-2.16214710E+01	
1.20000000E+01	-2.30158758E+01	
1.30000000E+01	-1.80181953E+01	
1.40000000E+01	-2.43402931E+01	
1.50000000E+01	-2.39445163E+01	
1.60000000E+01	-1.97905694E+01	
1.70000000E+01	-2.60276364E+01	
1.80000000E+01	-2.50708404E+01	
1.90000000E+01	-2.12302763E+01	
2.00000000E+01	-2.68039387E+01	
2.10000000E+01	-2.64288952E+01	
2.20000000E+01	-2.24307942E+01	
2.30000000E+01	-2.68989669E+01	
2.40000000E+01	-2.80578006E+01	
2.50000000E+01	-2.35244938E+01	
2.60000000E+01	-2.65696236E+01	
2.70000000E+01	-2.98409351E+01	
2.80000000E+01	-2.47151939E+01	
2.90000000E+01	-2.60959409E+01	
3.00000000E+01	-3.09709311E+01	
3.10000000E+01	-2.62903497E+01	
3.20000000E+01	-2.56818124E+01	
3.30000000E+01	-2.98790251E+01	
3.40000000E+01	-2.88770570E+01	
3.50000000E+01	-2.61336920E+01	
3.60000000E+01	-2.80446907E+01	
3.70000000E+01	-3.09324345E+01	
3.80000000E+01	-2.76953800E+01	
3.90000000E+01	-2.70670137E+01	
4.00000000E+01	-2.98567352E+01	
4.10000000E+01	-3.03051883E+01	
4.20000000E+01	-2.77815695E+01	
4.30000000E+01	-2.80119087E+01	
4.40000000E+01	-3.04693883E+01	
4.50000000E+01	-3.02601336E+01	
4.60000000E+01	-2.83301462E+01	
4.70000000E+01	-2.85063940E+01	
4.80000000E+01	-3.03891313E+01	
4.90000000E+01	-3.07138142E+01	
5.00000000E+01	-2.91476081E+01	
5.10000000E+01	-2.87546357E+01	
5.20000000E+01	-2.98779159E+01	
5.30000000E+01	-3.09806783E+01	
5.40000000E+01	-3.03018670E+01	
5.50000000E+01	-2.93433025E+01	
5.60000000E+01	-2.94010179E+01	
5.70000000E+01	-3.03075435E+01	
5.80000000E+01	-3.09838676E+01	
5.90000000E+01	-3.05981151E+01	
6.00000000E+01	-3.00893188E+01	
6.10000000E+01	-2.97481546E+01	
6.20000000E+01	-3.00167204E+01	
