Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
0.00000000E+00	3.17067899E+01	
1.00000000E+00	1.57796077E+00	
2.00000000E+00	-4.64120817E+00	
3.00000000E+00	-2.18703120E+01	
4.00000000E+00	-8.79818777E+00	
5.00000000E+00	-1.30505628E+01	
6.00000000E+00	-2.20126091E+01	
7.00000000E+00	-1.31396521E+01	
8.00000000E+00	-1.81021262E+01	
9.00000000E+00	-2.24899778E+01	
1.00000000E+01	-1.60041522E+01	
1.10000000E+01	-2.18031057E+01	
1.20000000E+01	-2.32019367E+01	
1.30000000E+01	-1.81840705E+01	
1.40000000E+01	-2.44566316E+01	
1.50000000E+01	-2.41193972E+01	
1.60000000E+01	-1.99315168E+01	
1.70000000E+01	-2.60929747E+01	
1.80000000E+01	-2.52447101E+01	
1.90000000E+01	-2.13564809E+01	
2.00000000E+01	-2.68344128E+01	
2.10000000E+01	-2.66087659E+01	
2.20000000E+01	-2.25518212E+01	
2.30000000E+01	-2.69106192E+01	
2.40000000E+01	-2.82434623E+01	
2.50000000E+01	-2.36519093E+01	
2.60000000E+01	-2.65784698E+01	
2.70000000E+01	-3.00022706E+01	
2.80000000E+01	-2.48641419E+01	
2.90000000E+01	-2.61198240E+01	
3.00000000E+01	-3.10163190E+01	
3.10000000E+01	-2.64785723E+01	
3.20000000E+01	-2.58690293E+01	
3.30000000E+01	-3.01155534E+01	
3.40000000E+01	-2.87509685E+01	
3.50000000E+01	-2.62326432E+01	
3.60000000E+01	-2.82978878E+01	
3.70000000E+01	-3.08834590E+01	
3.80000000E+01	-2.76851657E+01	
3.90000000E+01	-2.72368488E+01	
4.00000000E+01	-3.00466036E+01	
4.10000000E+01	-3.02265587E+01	
4.20000000E+01	-2.78367351E+01	
4.30000000E+01	-2.81890659E+01	
4.40000000E+01	-3.05842877E+01	
4.50000000E+01	-3.02215002E+01	
4.60000000E+01	-2.84050424E+01	
4.70000000E+01	-2.86570767E+01	
4.80000000E+01	-3.04821114E+01	
4.90000000E+01	-3.07100005E+01	
5.00000000E+01	-2.92213939E+01	
5.10000000E+01	-2.88769311E+01	
5.20000000E+01	-2.99620770E+01	
5.30000000E+01	-3.09960115E+01	
5.40000000E+01	-3.03711826E+01	
5.50000000E+01	-2.94637090E+01	
5.60000000E+01	-2.94907517E+01	
5.70000000E+01	-3.03175199E+01	
5.80000000E+01	-3.09868977E+01	
5.90000000E+01	-3.07091306E+01	
6.00000000E+01	-3.00784396E+01	
6.10000000E+01	-2.98567216E+01	
6.20000000E+01	-3.01683143E+01	
6.30000000E+01	-3.07055690E+01	
6.40000000E+01	-3.10012838E+01	
6.50000000E+01	-3.08670069E+01	
6.60000000E+01	-3.05495406E+01	
6.70000000E+01	-3.03478659E+01	
6.80000000E+01	-3.03698952E+01	
6.90000000E+01	-3.05631015E+01	
7.00000000E+01	-3.08007727E+01	
7.10000000E+01	-3.09640033E+01	
7.20000000E+01	-3.10046174E+01	
7.30000000E+01	-3.09520027E+01	
7.40000000E+01	-3.08680143E+01	
7.50000000E+01	-3.08020028E+01	
7.60000000E+01	-3.07751820E+01	
7.70000000E+01	-3.07860152E+01	
