Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
0.00000000E+00	4.92158954E+00	
1.00000000E+00	3.10206279E+00	
2.00000000E+00	-3.71928463E+00	
3.00000000E+00	-2.11297350E+01	
4.00000000E+00	-8.26052382E+00	
5.00000000E+00	-1.24183731E+01	
6.00000000E+00	-2.27416603E+01	
7.00000000E+00	-1.30936225E+01	
8.00000000E+00	-1.79933749E+01	
9.00000000E+00	-2.19362539E+01	
1.00000000E+01	-1.55746856E+01	
1.10000000E+01	-2.10659302E+01	
1.20000000E+01	-2.41701482E+01	
1.30000000E+01	-1.83892440E+01	
1.40000000E+01	-2.44753981E+01	
1.50000000E+01	-2.34557654E+01	
1.60000000E+01	-1.93919291E+01	
1.70000000E+01	-2.53123413E+01	
1.80000000E+01	-2.65753546E+01	
1.90000000E+01	-2.17560575E+01	
2.00000000E+01	-2.68562680E+01	
2.10000000E+01	-2.56668311E+01	
2.20000000E+01	-2.18673003E+01	
2.30000000E+01	-2.61404263E+01	
2.40000000E+01	-3.03500390E+01	
2.50000000E+01	-2.43480680E+01	
2.60000000E+01	-2.68024184E+01	
2.70000000E+01	-2.85903767E+01	
2.80000000E+01	-2.39515522E+01	
2.90000000E+01	-2.52396672E+01	
3.00000000E+01	-3.25337447E+01	
3.10000000E+01	-2.79295817E+01	
3.20000000E+01	-2.65243675E+01	
3.30000000E+01	-2.95983483E+01	
3.40000000E+01	-2.72277631E+01	
3.50000000E+01	-2.50859273E+01	
3.60000000E+01	-2.74412298E+01	
3.70000000E+01	-3.30010007E+01	
3.80000000E+01	-2.94751337E+01	
3.90000000E+01	-2.81289871E+01	
4.00000000E+01	-2.96626171E+01	
4.10000000E+01	-2.82806663E+01	
4.20000000E+01	-2.62190863E+01	
4.30000000E+01	-2.69588276E+01	
4.40000000E+01	-3.08129028E+01	
4.50000000E+01	-3.31138054E+01	
4.60000000E+01	-3.03616519E+01	
4.70000000E+01	-2.96573937E+01	
4.80000000E+01	-2.98212305E+01	
4.90000000E+01	-2.83849082E+01	
5.00000000E+01	-2.69235194E+01	
5.10000000E+01	-2.70621380E+01	
5.20000000E+01	-2.91204826E+01	
5.30000000E+01	-3.26003838E+01	
5.40000000E+01	-3.38329517E+01	
5.50000000E+01	-3.22064616E+01	
5.60000000E+01	-3.11321955E+01	
5.70000000E+01	-3.02823571E+01	
5.80000000E+01	-2.89018340E+01	
5.90000000E+01	-2.75162129E+01	
6.00000000E+01	-2.68255454E+01	
6.10000000E+01	-2.70863662E+01	
6.20000000E+01	-2.83445832E+01	
6.30000000E+01	-3.05511088E+01	
6.40000000E+01	-3.33547664E+01	
6.50000000E+01	-3.54891723E+01	
6.60000000E+01	-3.56663395E+01	
6.70000000E+01	-3.47068314E+01	
6.80000000E+01	-3.33274834E+01	
6.90000000E+01	-3.15722702E+01	
7.00000000E+01	-2.96721021E+01	
7.10000000E+01	-2.79598278E+01	
7.20000000E+01	-2.66159652E+01	
7.30000000E+01	-2.56841141E+01	
7.40000000E+01	-2.51474361E+01	
7.50000000E+01	-2.49719778E+01	
7.60000000E+01	-2.51237734E+01	
7.70000000E+01	-2.55746588E+01	
7.80000000E+01	-2.63043209E+01	
7.90000000E+01	-2.73008150E+01	
8.00000000E+01	-2.85614980E+01	
8.10000000E+01	-3.00947042E+01	
8.20000000E+01	-3.19223449E+01	
8.30000000E+01	-3.40858896E+01	
8.40000000E+01	-3.66558976E+01	
8.50000000E+01	-3.97513753E+01	
8.60000000E+01	-4.35823846E+01	
8.70000000E+01	-4.85526998E+01	
8.80000000E+01	-5.55806278E+01	
8.90000000E+01	-6.76103206E+01	
9.00000000E+01	-1.00000000E+03	
9.10000000E+01	-6.76103206E+01	
9.20000000E+01	-5.55806278E+01	
9.30000000E+01	-4.85526998E+01	
9.40000000E+01	-4.35823846E+01	
9.50000000E+01	-3.97513753E+01	
9.60000000E+01	-3.66558976E+01	
9.70000000E+01	-3.40858896E+01	
9.80000000E+01	-3.19223449E+01	
9.90000000E+01	-3.00947042E+01	
1.00000000E+02	-2.85614980E+01	
1.01000000E+02	-2.73008150E+01	
1.02000000E+02	-2.63043209E+01	
1.03000000E+02	-2.55746588E+01	
1.04000000E+02	-2.51237734E+01	
1.05000000E+02	-2.49719778E+01	
1.06000000E+02	-2.51474361E+01	
1.07000000E+02	-2.56841141E+01	
1.08000000E+02	-2.66159652E+01	
1.09000000E+02	-2.79598278E+01	
1.10000000E+02	-2.96721021E+01	
1.11000000E+02	-3.15722702E+01	
1.12000000E+02	-3.33274834E+01	
1.13000000E+02	-3.47068314E+01	
1.14000000E+02	-3.56663395E+01	
1.15000000E+02	-3.54891723E+01	
1.16000000E+02	-3.33547664E+01	
1.17000000E+02	-3.05511088E+01	
1.18000000E+02	-2.83445832E+01	
1.19000000E+02	-2.70863662E+01	
1.20000000E+02	-2.68255454E+01	
1.21000000E+02	-2.75162129E+01	
1.22000000E+02	-2.89018340E+01	
1.23000000E+02	-3.02823571E+01	
1.24000000E+02	-3.11321955E+01	
1.25000000E+02	-3.22064616E+01	
1.26000000E+02	-3.38329517E+01	
1.27000000E+02	-3.26003838E+01	
1.28000000E+02	-2.91204826E+01	
1.29000000E+02	-2.70621380E+01	
1.30000000E+02	-2.69235194E+01	
1.31000000E+02	-2.83849082E+01	
1.32000000E+02	-2.98212305E+01	
1.33000000E+02	-2.96573937E+01	
1.34000000E+02	-3.03616519E+01	
1.35000000E+02	-3.31138054E+01	
1.36000000E+02	-3.08129028E+01	
1.37000000E+02	-2.69588276E+01	
1.38000000E+02	-2.62190863E+01	
1.39000000E+02	-2.82806663E+01	
1.40000000E+02	-2.96626171E+01	
1.41000000E+02	-2.81289871E+01	
1.42000000E+02	-2.94751337E+01	
1.43000000E+02	-3.30010007E+01	
1.44000000E+02	-2.74412298E+01	
1.45000000E+02	-2.50859273E+01	
1.46000000E+02	-2.72277631E+01	
1.47000000E+02	-2.95983483E+01	
1.48000000E+02	-2.65243675E+01	
1.49000000E+02	-2.79295817E+01	
1.50000000E+02	-3.25337447E+01	
1.51000000E+02	-2.52396672E+01	
1.52000000E+02	-2.39515522E+01	
1.53000000E+02	-2.85903767E+01	
1.54000000E+02	-2.68024184E+01	
1.55000000E+02	-2.43480680E+01	
1.56000000E+02	-3.03500390E+01	
1.57000000E+02	-2.61404263E+01	
1.58000000E+02	-2.18673003E+01	
1.59000000E+02	-2.56668311E+01	
1.60000000E+02	-2.68562680E+01	
1.61000000E+02	-2.17560575E+01	
1.62000000E+02	-2.65753546E+01	
1.63000000E+02	-2.53123413E+01	
1.64000000E+02	-1.93919291E+01	
1.65000000E+02	-2.34557654E+01	
1.66000000E+02	-2.44753981E+01	
1.67000000E+02	-1.83892440E+01	
1.68000000E+02	-2.41701482E+01	
1.69000000E+02	-2.10659302E+01	
1.70000000E+02	-1.55746856E+01	
1.71000000E+02	-2.19362539E+01	
1.72000000E+02	-1.79933749E+01	
1.73000000E+02	-1.30936225E+01	
1.74000000E+02	-2.27416603E+01	
1.75000000E+02	-1.24183731E+01	
1.76000000E+02	-8.26052382E+00	
1.77000000E+02	-2.11297350E+01	
1.78000000E+02	-3.71928463E+00	
1.79000000E+02	3.10206279E+00	
1.80000000E+02	4.92158954E+00	
1.81000000E+02	3.10204445E+00	
1.82000000E+02	-3.71932926E+00	
1.83000000E+02	-2.11297760E+01	
1.84000000E+02	-8.26057621E+00	
1.85000000E+02	-1.24184681E+01	
1.86000000E+02	-2.27417847E+01	
1.87000000E+02	-1.30937677E+01	
1.88000000E+02	-1.79937636E+01	
1.89000000E+02	-2.19363786E+01	
1.90000000E+02	-1.55747981E+01	
1.91000000E+02	-2.10663129E+01	
1.92000000E+02	-2.41703981E+01	
1.93000000E+02	-1.83896145E+01	
1.94000000E+02	-2.44770025E+01	
1.95000000E+02	-2.34560783E+01	
1.96000000E+02	-1.93921315E+01	
1.97000000E+02	-2.53132055E+01	
1.98000000E+02	-2.65759974E+01	
1.99000000E+02	-2.17567738E+01	
2.00000000E+02	-2.68590909E+01	
2.01000000E+02	-2.56677940E+01	
2.02000000E+02	-2.18676058E+01	
2.03000000E+02	-2.61413748E+01	
2.04000000E+02	-3.03517049E+01	
2.05000000E+02	-2.43490674E+01	
2.06000000E+02	-2.68055045E+01	
2.07000000E+02	-2.85933486E+01	
2.08000000E+02	-2.39520560E+01	
2.09000000E+02	-2.52405239E+01	
2.10000000E+02	-3.25372774E+01	
2.11000000E+02	-2.79307996E+01	
2.12000000E+02	-2.65265352E+01	
2.13000000E+02	-2.96041469E+01	
2.14000000E+02	-2.72298586E+01	
2.15000000E+02	-2.50865708E+01	
2.16000000E+02	-2.74424123E+01	
2.17000000E+02	-3.30046835E+01	
2.18000000E+02	-2.94771919E+01	
2.19000000E+02	-2.81322545E+01	
2.20000000E+02	-2.96685994E+01	
2.21000000E+02	-2.82835936E+01	
2.22000000E+02	-2.62198378E+01	
2.23000000E+02	-2.69595654E+01	
2.24000000E+02	-3.08153137E+01	
2.25000000E+02	-3.31168427E+01	
2.26000000E+02	-3.03634044E+01	
2.27000000E+02	-2.96610633E+01	
2.28000000E+02	-2.98271838E+01	
2.29000000E+02	-2.83890348E+01	
2.30000000E+02	-2.69254323E+01	
2.31000000E+02	-2.70631509E+01	
2.32000000E+02	-2.91216356E+01	
2.33000000E+02	-3.26029281E+01	
2.34000000E+02	-3.38361078E+01	
2.35000000E+02	-3.22092674E+01	
2.36000000E+02	-3.11361748E+01	
2.37000000E+02	-3.02874868E+01	
2.38000000E+02	-2.89062941E+01	
2.39000000E+02	-2.75191427E+01	
2.40000000E+02	-2.68272845E+01	
2.41000000E+02	-2.70874353E+01	
2.42000000E+02	-2.83453893E+01	
2.43000000E+02	-3.05521321E+01	
2.44000000E+02	-3.33564265E+01	
2.45000000E+02	-3.54917968E+01	
2.46000000E+02	-3.56698769E+01	
2.47000000E+02	-3.47113066E+01	
2.48000000E+02	-3.33332344E+01	
2.49000000E+02	-3.15780228E+01	
2.50000000E+02	-2.96771606E+01	
2.51000000E+02	-2.79638633E+01	
2.52000000E+02	-2.66190569E+01	
2.53000000E+02	-2.56864580E+01	
2.54000000E+02	-2.51493638E+01	
2.55000000E+02	-2.49734031E+01	
2.56000000E+02	-2.51248740E+01	
2.57000000E+02	-2.55755018E+01	
2.58000000E+02	-2.63049497E+01	
2.59000000E+02	-2.73011455E+01	
2.60000000E+02	-2.85617138E+01	
2.61000000E+02	-3.00947032E+01	
2.62000000E+02	-3.19222969E+01	
2.63000000E+02	-3.40857569E+01	
2.64000000E+02	-3.66555813E+01	
2.65000000E+02	-3.97510630E+01	
2.66000000E+02	-4.35820009E+01	
2.67000000E+02	-4.85522219E+01	
2.68000000E+02	-5.55801694E+01	
2.69000000E+02	-6.76098690E+01	
2.70000000E+02	-1.00000000E+03	
2.71000000E+02	-6.76098690E+01	
2.72000000E+02	-5.55801694E+01	
2.73000000E+02	-4.85522219E+01	
2.74000000E+02	-4.35820009E+01	
2.75000000E+02	-3.97510630E+01	
2.76000000E+02	-3.66555813E+01	
2.77000000E+02	-3.40857569E+01	
2.78000000E+02	-3.19222969E+01	
2.79000000E+02	-3.00947032E+01	
2.80000000E+02	-2.85617138E+01	
2.81000000E+02	-2.73011455E+01	
2.82000000E+02	-2.63049497E+01	
2.83000000E+02	-2.55755018E+01	
2.84000000E+02	-2.51248740E+01	
2.85000000E+02	-2.49734031E+01	
2.86000000E+02	-2.51493638E+01	
2.87000000E+02	-2.56864580E+01	
2.88000000E+02	-2.66190569E+01	
2.89000000E+02	-2.79638633E+01	
2.90000000E+02	-2.96771606E+01	
2.91000000E+02	-3.15780228E+01	
2.92000000E+02	-3.33332344E+01	
2.93000000E+02	-3.47113066E+01	
2.94000000E+02	-3.56698769E+01	
2.95000000E+02	-3.54917968E+01	
2.96000000E+02	-3.33564265E+01	
2.97000000E+02	-3.05521321E+01	
2.98000000E+02	-2.83453893E+01	
2.99000000E+02	-2.70874353E+01	
3.00000000E+02	-2.68272845E+01	
3.01000000E+02	-2.75191427E+01	
3.02000000E+02	-2.89062941E+01	
3.03000000E+02	-3.02874868E+01	
3.04000000E+02	-3.11361748E+01	
3.05000000E+02	-3.22092674E+01	
3.06000000E+02	-3.38361078E+01	
3.07000000E+02	-3.26029281E+01	
3.08000000E+02	-2.91216356E+01	
3.09000000E+02	-2.70631509E+01	
3.10000000E+02	-2.69254323E+01	
3.11000000E+02	-2.83890348E+01	
3.12000000E+02	-2.98271838E+01	
3.13000000E+02	-2.96610633E+01	
3.14000000E+02	-3.03634044E+01	
3.15000000E+02	-3.31168427E+01	
3.16000000E+02	-3.08153137E+01	
3.17000000E+02	-2.69595654E+01	
3.18000000E+02	-2.62198378E+01	
3.19000000E+02	-2.82835936E+01	
3.20000000E+02	-2.96685994E+01	
3.21000000E+02	-2.81322545E+01	
3.22000000E+02	-2.94771919E+01	
3.23000000E+02	-3.30046835E+01	
3.24000000E+02	-2.74424123E+01	
3.25000000E+02	-2.50865708E+01	
3.26000000E+02	-2.72298586E+01	
3.27000000E+02	-2.96041469E+01	
3.28000000E+02	-2.65265352E+01	
3.29000000E+02	-2.79307996E+01	
