angle1       TX3RX1     ||   angle2      TX3RX2     ||   angle3      TX3RX3     ||   angle4     TX3RX4
-59.7006     84.6691    ||    -59.8943      82.5109    ||    -60.3707      81.4127    ||    -60.0608      82.3383
-58.808     85.3116    ||    -57.7484      83.3734    ||    -59.9627      81.4572    ||    -59.5188      82.7555
-56.8958     85.704    ||    -56.2598      84.193    ||    -59.9138      81.0864    ||    -58.5751      82.9421
-55.6469     86.5669    ||    -53.9504      85.0123    ||    -58.0444      82.1917    ||    -57.0889      83.589
-55.2447     86.3941    ||    -51.4732      86.0906    ||    -57.6014      82.1216    ||    -55.2737      84.279
-53.6482     87.4761    ||    -47.9996      87.4782    ||    -53.798      84.149    ||    -54.1157      84.9261
-53.5937     87.0841    ||    -49.9923      86.349    ||    -55.6167      83.2    ||    -54.8456      85.3535
-51.9813     88.2987    ||    -47.3581      86.9092    ||    -53.3713      84.7897    ||    -52.9577      85.5731
-51.9421     87.8174    ||    -45.2128      87.7286    ||    -51.9811      84.9685    ||    -50.9784      86.2631
-49.4715     88.4208    ||    -43.7265      88.3756    ||    -51.5393      85.6123    ||    -48.5054      87.0391
-48.8331     88.9042    ||    -41.4147      89.3675    ||    -50.4954      85.5722    ||    -46.542      87.9068
-46.5111     89.4666    ||    -38.6158      89.9708    ||    -49.175      86.0898    ||    -46.5261      87.7291
-46.3424     89.1535    ||    -35.8068      91.308    ||    -48.7109      86.7378    ||    -43.7259      88.4187
-44.686     89.9425    ||    -32.8407      92.127    ||    -47.3545      87.1682    ||    -40.9258      89.1084
-43.7053     89.9295    ||    -31.1867      93.0329    ||    -44.7212      88.1661    ||    -38.2452      90.1135
-42.3614     90.6349    ||    -27.439      94.0091    ||    -44.2237      88.0304    ||    -37.9574      90.1001
-41.3976     90.6193    ||    -27.2369      93.7653    ||    -41.4177      89.1517    ||    -34.9925      90.8329
-40.0308     91.6306    ||    -25.1322      94.5026    ||    -38.7776      90.1436    ||    -32.7638      91.8446
-39.4189     91.2661    ||    -24.2779      94.0664    ||    -38.2383      90.4601    ||    -32.0258      91.6951
-38.0363     92.3232    ||    -22.6385      94.7006    ||    -36.4693      90.8765    ||    -28.5661      92.6003
-37.11     92.0422    ||    -19.5103      94.5827    ||    -35.0833      91.4122    ||    -26.0996      92.9016
-33.6503     92.9475    ||    -16.7137      95.0133    ||    -34.8218      91.3076    ||    -25.4694      93.4451
-32.5619     93.7077    ||    -13.8731      95.564    ||    -32.2558      92.4944    ||    -24.1286      92.9872
-29.6963     93.982    ||    -11.5545      95.9531    ||    -32.0217      91.9972    ||    -20.51      93.5039
-28.2523     94.616    ||    -9.8084      95.7878    ||    -29.7687      93.0567    ||    -16.8908      94.0637
-24.9269     94.6278    ||    -9.2385      96.2122    ||    -29.5481      92.8165    ||    -14.5522      94.611
-19.3384     95.1438    ||    -7.9557      96.3787    ||    -27.0798      93.2473    ||    -13.7665      94.4511
-16.1771     95.9114    ||    -7.3402      96.2186    ||    -24.4492      93.5485    ||    -11.4624      94.8819
-14.5696     95.7464    ||    -6.2674      96.2112    ||    -21.8162      94.0224    ||    -11.2381      95.2597
-10.1362     95.8311    ||    -4.8831      95.8292    ||    -19.3491      94.3668    ||    -8.09      95.8652
-7.1801     95.9164    ||    -3.1407      95.7334    ||    -18.0142      94.8289    ||    -7.1837      95.6574
-6.9268     96.2547    ||    -0.2967      95.0938    ||    -14.9097      94.8832    ||    -5.9416      95.9944
-2.093     95.785    ||    0.1579      95.6023    ||    -12.0566      95.6067    ||    -2.9132      95.8285
1.6826     95.7837    ||    2.1438      95.8615    ||    -11.949      95.3138    ||    -1.8151      95.9929
5.4553     96.3802    ||    4.1409      95.4806    ||    -9.5712      96.0824    ||    0.9961      96.2519
6.282     95.9979    ||    5.1226      96.2504    ||    -8.1264      96.6405    ||    1.8485      95.9131
10.2171     95.6511    ||    8.0952      96.5969    ||    -7.6691      96.1755    ||    5.126      96.4237
12.7051     95.7277    ||    8.1006      96.5959    ||    -6.5924      96.4712    ||    6.2814      95.9547
13.8203     95.0455    ||    8.2548      96.213    ||    -2.7526      95.5695    ||    9.8905      95.7807
15.2936     94.7428    ||    10.5782      96.6817    ||    0.8164      95.5154    ||    10.7321      96.1184
16.6511     94.9464    ||    12.2211      96.2911    ||    1.0177      95.1796    ||    15.1371      95.304
18.5667     94.0078    ||    13.995      95.8224    ||    1.9762      95.7316    ||    15.6745      95.64
18.6207     94.3824    ||    16.3416      95.9864    ||    4.6188      95.8173    ||    17.5941      94.9147
21.1879     93.6184    ||    18.4848      95.8556    ||    7.5951      96.0762    ||    18.312      95.4657
21.9133     93.948    ||    19.5682      95.2161    ||    8.9026      95.5653    ||    20.6134      94.9883
23.9697     92.9699    ||    22.9277      95.1608    ||    12.5111      95.3481    ||    21.8563      94.4815
24.3772     93.3405    ||    24.9789      94.7393    ||    13.5364      96.0307    ||    23.2492      94.7274
26.9169     92.4077    ||    26.5582      95.1161    ||    16.1197      95.131    ||    24.5654      94.5103
30.8484     91.802    ||    30.3925      94.4784    ||    20.7031      95.1571    ||    26.6098      93.9618
31.4542     92.2981    ||    32.8419      93.5279    ||    21.2032      94.7407    ||    30.4965      93.9449
33.9574     91.067    ||    33.9593      93.7703    ||    25.1377      94.3508    ||    30.7067      93.4423
34.4116     91.6038    ||    35.7814      92.4045    ||    29.8942      94.0469    ||    33.6521      92.7506
36.7368     90.2459    ||    36.2556      93.0329    ||    32.3471      93.3554    ||    33.7797      93.0338
38.6996     89.7272    ||    37.5795      91.8427    ||    32.6423      93.9441    ||    36.2697      92.1022
40.493     88.8201    ||    39.8688      91.1944    ||    34.9377      93.1634    ||    38.0637      91.2382
40.966     89.175    ||    40.3486      91.3416    ||    35.2901      92.491    ||    39.5267      91.5152
41.9615     88.1721    ||    42.9701      89.8983    ||    36.247      92.5996    ||    39.8594      90.5038
43.4313     87.6104    ||    42.9733      90.5175    ||    39.2128      91.2378    ||    41.1628      90.7781
44.4068     86.9194    ||    44.9377      89.6935    ||    41.4968      90.201    ||    41.805      89.868
46.043     86.5303    ||    46.7286      88.6452    ||    44.4316      88.7323    ||    41.9781      89.3807
46.0451     87.2668    ||    47.2348      88.9995    ||    44.599      89.2604    ||    44.0968      88.2576
48.4924     85.5798    ||    47.6451      88.6998    ||    48.1942      87.7813    ||    44.0978      88.9573
50.2905     85.018    ||    49.3433      87.7809    ||    48.6504      88.089    ||    47.6947      87.2635
51.6151     85.1417    ||    51.4964      87.4815    ||    50.8089      86.9171    ||    50.147      86.5288
52.9034     84.0243    ||    51.7962      87.0894    ||    52.1532      87.3079    ||    51.4792      86.6149
54.6973     83.1603    ||    53.7555      86.3117    ||    54.2421      85.8799    ||    52.7658      85.9668
54.7255     83.8408    ||    54.446      86.3972    ||    55.4252      85.8336    ||    54.2309      85.0597
56.1618     82.2101    ||    55.3817      85.1888    ||    55.4834      85.733    ||    56.186      83.9799
56.3598     83.017    ||    57.5016      84.1521    ||    56.5208      84.4546    ||    56.8833      84.4466
58.1549     81.9765    ||    57.8728      84.4029    ||    58.8066      83.5473    ||    58.1823      83.3629
58.2864     81.5187    ||    59.6185      82.8995    ||    59.7821      82.8563    ||    58.9631      82.9861
59.9161     80.6548    ||    59.8244      82.9291    ||    60.3328      83.2461    ||    59.2825      82.3385
