angle1       TX3RX1     ||   angle2      TX3RX2     ||   angle3      TX3RX3     ||   angle4     TX3RX4
-59.7006     84.6691    ||    -59.8943      82.5109    ||    -59.9627      81.4572    ||    -60.0608      82.3383
-56.8958     85.704    ||    -57.7484      83.3734    ||    -59.9138      81.0864    ||    -58.5751      82.9421
-55.2447     86.3941    ||    -56.2598      84.193    ||    -57.6014      82.1216    ||    -57.0889      83.589
-53.5937     87.0841    ||    -53.9504      85.0123    ||    -55.6167      83.2    ||    -55.2737      84.279
-51.9421     87.8174    ||    -51.4732      86.0906    ||    -53.798      84.149    ||    -54.1157      84.9261
-49.4715     88.4208    ||    -49.9923      86.349    ||    -51.9811      84.9685    ||    -52.9577      85.5731
-46.3424     89.1535    ||    -47.9996      87.4782    ||    -50.4954      85.5722    ||    -50.9784      86.2631
-43.7053     89.9295    ||    -47.3581      86.9092    ||    -49.175      86.0898    ||    -48.5054      87.0391
-41.3976     90.6193    ||    -45.2128      87.7286    ||    -47.3545      87.1682    ||    -46.5261      87.7291
-39.4189     91.2661    ||    -43.7265      88.3756    ||    -44.2237      88.0304    ||    -43.7259      88.4187
-37.11     92.0422    ||    -41.4147      89.3675    ||    -41.4177      89.1517    ||    -40.9258      89.1084
-33.6503     92.9475    ||    -38.6158      89.9708    ||    -38.7776      90.1436    ||    -37.9574      90.1001
-29.6963     93.982    ||    -35.8068      91.308    ||    -36.4693      90.8765    ||    -34.9925      90.8329
-24.9269     94.6278    ||    -35.3475      92.1466    ||    -34.8218      91.3076    ||    -32.0258      91.6951
-19.3384     95.1438    ||    -32.8407      92.127    ||    -32.0217      91.9972    ||    -28.5661      92.6003
-14.5696     95.7464    ||    -31.1867      93.0329    ||    -29.5481      92.8165    ||    -26.0996      92.9016
-10.1362     95.8311    ||    -27.2369      93.7653    ||    -27.0798      93.2473    ||    -24.1286      92.9872
-7.1801     95.9164    ||    -24.2779      94.0664    ||    -24.4492      93.5485    ||    -20.51      93.5039
-2.093     95.785    ||    -19.5103      94.5827    ||    -21.8162      94.0224    ||    -16.8908      94.0637
1.6826     95.7837    ||    -16.7137      95.0133    ||    -19.3491      94.3668    ||    -13.7665      94.4511
6.282     95.9979    ||    -9.8084      95.7878    ||    -14.9097      94.8832    ||    -11.4624      94.8819
10.2171     95.6511    ||    -7.3402      96.2186    ||    -11.949      95.3138    ||    -7.1837      95.6574
13.8203     95.0455    ||    -4.8831      95.8292    ||    -7.6691      96.1755    ||    -2.9132      95.8285
15.2936     94.7428    ||    -3.0833      95.3969    ||    -2.7526      95.5695    ||    1.8485      95.9131
18.5667     94.0078    ||    -0.2967      95.0938    ||    1.0177      95.1796    ||    6.2814      95.9547
21.1879     93.6184    ||    4.1409      95.4806    ||    8.9026      95.5653    ||    9.8905      95.7807
23.9697     92.9699    ||    8.2548      96.213    ||    12.5111      95.3481    ||    15.1371      95.304
26.9169     92.4077    ||    13.995      95.8224    ||    16.1197      95.131    ||    17.5941      94.9147
30.8484     91.802    ||    16.781      95.4761    ||    21.2032      94.7407    ||    21.8563      94.4815
33.9574     91.067    ||    19.5682      95.2161    ||    25.1377      94.3508    ||    26.6098      93.9618
36.7368     90.2459    ||    24.9789      94.7393    ||    29.8942      94.0469    ||    30.7067      93.4423
38.6996     89.7272    ||    30.3925      94.4784    ||    32.3471      93.3554    ||    33.6521      92.7506
40.493     88.8201    ||    35.7814      92.4045    ||    39.2128      91.2378    ||    38.0637      91.2382
41.9615     88.1721    ||    32.8419      93.5279    ||    35.2901      92.491    ||    36.2697      92.1022
43.4313     87.6104    ||    37.5795      91.8427    ||    41.4968      90.201    ||    39.8594      90.5038
44.4068     86.9194    ||    39.8688      91.1944    ||    44.4316      88.7323    ||    41.9781      89.3807
46.043     86.5303    ||    42.9701      89.8983    ||    48.1942      87.7813    ||    44.0968      88.2576
48.4924     85.5798    ||    46.7286      88.6452    ||    50.8089      86.9171    ||    47.6947      87.2635
50.2905     85.018    ||    49.3433      87.7809    ||    54.2421      85.8799    ||    50.147      86.5288
52.9034     84.0243    ||    51.7962      87.0894    ||    55.4834      85.733    ||    52.7658      85.9668
54.6973     83.1603    ||    53.7555      86.3117    ||    56.5208      84.4546    ||    54.2309      85.0597
56.1618     82.2101    ||    55.3817      85.1888    ||    58.8066      83.5473    ||    56.186      83.9799
58.2864     81.5187    ||    57.5016      84.1521    ||    59.7821      82.8563    ||    58.9631      82.9861
59.9161     80.6548    ||    59.6185      82.8995    ||    60.3328      83.2461    ||    59.2825      82.3385
