angle1       TX3RX1     ||   angle2      TX3RX2     ||   angle3      TX3RX3     ||   angle4     TX3RX4
-30.191     72.7064    ||    -30.0169      71.8073    ||    -30.0232      74.3761    ||    -29.9249      69.367
-29.3331     73.4128    ||    -28.816      72.7947    ||    -29.2516      75.211    ||    -29.0682      70.5229
-27.9608     74.633    ||    -28.7306      73.0917    ||    -28.3059      75.095    ||    -27.9534      71.6147
-26.3315     76.2385    ||    -27.7016      74.1193    ||    -27.8773      75.6606    ||    -27.011      72.8624
-25.0456     77.6514    ||    -26.5018      75.5963    ||    -27.277      76.2385    ||    -26.7545      73.4771
-23.845     78.8073    ||    -25.5596      76.945    ||    -26.0755      77.0092    ||    -26.4985      74.2477
-22.4721     79.8349    ||    -24.4446      77.9725    ||    -24.1874      78.2294    ||    -25.469      75.0826
-21.4442     81.3119    ||    -23.3301      79.1927    ||    -22.1286      79.9633    ||    -25.0419      76.1743
-20.3302     82.7248    ||    -22.13      80.5413    ||    -20.4133      81.5688    ||    -24.0983      76.945
-19.044     84.0092    ||    -21.2723      81.3119    ||    -19.6432      82.9817    ||    -23.3276      78.1651
-17.8437     85.2936    ||    -19.9003      82.6606    ||    -18.7863      84.0734    ||    -22.042      79.7064
-16.5576     86.6422    ||    -18.3558      83.8165    ||    -17.8429      84.9725    ||    -21.0991      80.7982
-15.2714     87.9266    ||    -17.3268      84.844    ||    -16.4707      86.2569    ||    -19.8998      82.4679
-13.299     89.8532    ||    -15.954      85.8716    ||    -15.2706      87.6055    ||    -18.9583      84.1376
-11.6697     91.4587    ||    -14.6673      86.9633    ||    -14.9273      87.7695    ||    -17.4152      85.8073
-10.04     92.8716    ||    -13.3807      88.1193    ||    -14.3274      88.5688    ||    -16.2152      87.2202
-8.4099     94.156    ||    -12.5244      89.4679    ||    -13.2976      89.2752    ||    -15.2722      88.2477
-6.8645     94.9266    ||    -11.1525      90.8807    ||    -11.324      90.6881    ||    -14.4999      88.7284
-4.3724     95.2477    ||    -10.124      92.1009    ||    -10.21      92.1009    ||    -14.2432      89.2752
-2.1372     95.1193    ||    -8.8378      93.3853    ||    -8.2368      93.7064    ||    -12.9566      90.4312
-0.4178     95.055    ||    -7.2085      94.9908    ||    -7.3793      94.4918    ||    -11.2398      91.3945
1.215     95.2477    ||    -5.4025      94.6697    ||    -6.9498      94.6697    ||    -9.6103      92.9358
3.9646     95.6972    ||    -3.8554      94.7339    ||    -5.2314      94.9908    ||    -7.5506      94.2844
6.2845     96.0826    ||    -1.5345      94.7339    ||    -3.5972      94.6055    ||    -4.888      95.1835
7.4028     95.7615    ||    1.0432      95.1835    ||    -0.761      94.7982    ||    -2.3107      95.7615
9.1242     94.8624    ||    2.8476      95.5046    ||    2.2457      95.5688    ||    -0.0774      96.4679
10.157     94.3486    ||    4.2217      96.0183    ||    4.9087      96.2752    ||    2.7591      96.5321
11.2759     93.7706    ||    6.9711      96.5321    ||    7.4861      96.8532    ||    5.3376      96.6606
13.9449     92.0367    ||    9.8102      95.5688    ||    8.6053      96.1468    ||    7.4873      96.3394
15.0644     91.2018    ||    8.0028      96.4679    ||    9.8966      95.3761    ||    9.6401      94.7982
15.8401     90.367    ||    11.1021      94.5413    ||    11.0167      94.2844    ||    10.9324      93.6422
16.4447     89.211    ||    12.738      93.4495    ||    12.8241      93.3853    ||    12.5677      92.8073
18.2558     86.7706    ||    14.2023      92.2294    ||    14.8043      92.0481    ||    14.0324      91.3945
19.032     85.7431    ||    16.0974      90.6239    ||    14.805      91.844    ||    16.1854      89.789
20.6689     84.2661    ||    17.9071      88.7615    ||    17.1303      90.0459    ||    18.4246      88.055
21.1005     83.4954    ||    19.4574      87.5413    ||    19.111      88.5688    ||    20.3187      86.8349
22.1347     82.4037    ||    21.0094      85.6147    ||    20.8351      86.578    ||    22.2994      85.3578
23.4282     80.7339    ||    22.4742      84.2018    ||    23.1604      84.7798    ||    23.1617      84.2661
24.8926     79.5138    ||    23.5961      82.4037    ||    24.8856      82.3394    ||    24.1961      83.1101
26.1864     77.7156    ||    24.9757      80.6697    ||    25.9209      80.7982    ||    24.8858      82.2752
27.1341     76.8165    ||    26.0963      79.3853    ||    26.8696      79.5138    ||    26.3512      80.6055
28.0811     76.2385    ||    27.475      78.0367    ||    28.248      78.2936    ||    27.7307      78.9358
28.1691     75.4037    ||    28.4237      76.7523    ||    29.1115      76.6881    ||    29.2822      77.2018
30.0647     73.6055    ||    29.8894      74.9541    ||    30.0603      75.4037    ||    30.0582      76.2385
